id,name,artists,album,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
33ZIrplTLyWCKhlWzRadxL,Saayaali,Sathyaprakash | Chinmayi,Adanga Maru (Original Motion Picture Soundtrack),2018,50,0.673,0.619,2,-5.969,1,0.0296,0.243,3.88e-06,0.0769,0.406,115.045,308022,3
5y0PXkDyefSKQauonvsB4O,The Yellow Rose of Texas / The Eyes of Texas,Elvis Presley | ,Elvis Sings Flaming Star,1968,34,0.606,0.404,8,-13.28,1,0.121,0.606,2.13e-06,0.124,0.788,119.793,175440,4
1A8s182NfOT6dOXjPsWfTn,Thunder in the Rain,Kane Brown | ,Kane Brown,2016,52,0.549,0.877,6,-5.008,1,0.0317,0.000555,0.0,0.0969,0.377,110.963,164920,4
1Ly3sQABkGYruk0s8XF6US,Can't Get Enough,Tamia | ,Between Friends,2006,58,0.766,0.454,8,-4.324,1,0.289,0.0836,0.0,0.102,0.281,143.951,229027,4
43r6mwGvW1WUbB2qNnJ4Em,May Madham,Devan Ekambaram | Sujatha,Shajahaan,2001,43,0.632,0.478,9,-11.873,1,0.0522,0.331,0.00412,0.0594,0.666,93.911,314003,4
7CY0CmCpSglfUKCBOOiRfw,Illegal Weapon 2.0,Jasmine Sandlas | Garry Sandhu,Street Dancer 3D,2020,67,0.805,0.919,1,-1.294,1,0.0938,0.101,0.00343,0.0598,0.494,94.993,188606,4
4Hq81wGdNnsU47S180Nr0G,The Love for Three Oranges  Act III Scene 3: We're alone  at last  my marmalade  my dessert  my true love (Prince  Ninetta  Eccentrics  Lyrics),Sergei Prokofiev | Ali McGregor,Prokofiev: The Love for Three Oranges,2005,0,0.234,0.126,4,-22.579,0,0.0645,0.962,2.2e-05,0.164,0.0397,85.484,486544,3
5OkKOkdVTKFrYi6GWXkMzR,Volare (Nel Blu Di Pinto Di Blu) - Remastered 1998,Dean Martin | ,This Is Dean Martin,1958,68,0.612,0.144,6,-12.204,0,0.0352,0.88,0.0,0.203,0.343,128.629,181627,4
46BZyn6CrlF8LeR2KXepkO,"Padichi Parthen - From ""Polladhavan""",Kabilan | G. V. Prakash,"Padichi Parthen (From ""Polladhavan"")",2007,62,0.646,0.956,1,-6.404,1,0.264,0.103,0.0017,0.0841,0.605,79.85,260441,4
17LZKLjQxH2w67xMa8mWML,J'irai où tu iras (with Jean-Jacques Goldman),Céline Dion | Jean-Jacques Goldman,D'Eux,1995,61,0.604,0.963,7,-5.572,1,0.0906,0.273,6.62e-06,0.374,0.695,174.718,205800,4
6GnhWMhgJb7uyiiPEiEkDA,Weekend (feat. Miguel),Mac Miller | Miguel,GO:OD AM,2015,78,0.843,0.435,8,-8.442,1,0.178,0.47,0.0,0.147,0.19,120.058,208080,4
0PggkxcFf0bb29LsDIC7Rp,Aalappol Velappol,S. P. Balasubrahmanyam | K. S. Chithra,Ejjaman (Original Motion Picture Soundtrack),1993,39,0.826,0.618,1,-7.645,1,0.0349,0.322,6.64e-06,0.0659,0.94,128.078,304849,4
1jd0C1XqXyXlCPzQNk1Bpp,Trap Door,Rebelution | ,Free Rein,2018,43,0.735,0.542,5,-7.746,0,0.0339,0.00232,0.000736,0.093,0.554,83.533,292429,4
0rF4iuU0xN91duQygE0Pt1,"Mayilrage (From ""Ah…Aah"")",Madhusree | Naresh Iyer,Super Hits of Vaali  Vol. 2,2013,52,0.732,0.654,8,-7.583,0,0.0396,0.464,5.49e-05,0.123,0.724,122.049,322862,4
